Contributor,Commits,Added,Deleted,Repos
peteruithoven,1,1,0,1
TobiGr,3,12,9,1
JuhoBasemark,6,636,143,1
thorhop,4,6,6,1
Maks1mS,1,1,0,1
mstroecker,1,1,1,1
phloose,2,6,6,1
takuvata,1,3,3,1
KAMiKAZOW,1,8,0,1
abique,29,912,1027,1
bitwig-buildbot,40,123,94,1
jhasse,2,71,0,1
johan-bjareholt,17,77,45,1
saturneric,10,181,144,1
dimitris-norce,1,2,7,1
midwan,20,237,129,1
grubles,19,353,264,1
NikolozMiruashvili,1,4,4,1
CryptGoat,1,4,4,1
real-yfprojects,7,373,398,1
samuel-w,7,12,49,1
jarek-foksa,100,17762,14390,1
StellarOrbit,1,4,3,1
cthu1hoo,1,23,0,1
LucasWagler,1,3,2,1
admiralakber,1,1,0,1
exil0867,1,6,3,1
oajara,1,0,11,1
brave-builds,1,5,4,1
EyeCantCU,2,7,7,1
mihaiplesa,2,3,6,1
iffy,8,160,95,1
mr-m-1t,1,3,2,1
byteshiva,2,6,4,1
cerebralnomad,8,93,17,1
pajlada,1,2,2,1
chowder,1,3,0,1
ilya-zlobintsev,35,451,697,1
chmouel,17,219,55,1
lukky513,12,206,24,1
Ratfink,11,90,33,1
claucambra,19,199,84,1
sgehrman,78,569,292,1
Core447,38,751,162,1
Cuperino,8,29,17,1
dec05eba,77,555,481,1
lokedhs,51,2790,223,1
stewartadam,6,201,56,1
idelsink,1,4,4,1
beheh,1,4,4,1
cerulis64,1,31,9,1
geekley,1,33,0,1
AlxHnr,1,1,1,1
Tabby,1,3,3,1
gamer191,1,1,1,1
MonterraByte,2,5,5,1
connlim,2,208,9,1
njallam,2,4,4,1
Preisschild,3,8,8,1
bancika,40,69,69,1
Wengier,2,5,2,1
ironsmile,27,9522,8172,1
pr0gr8mm3r,1,23,31,1
jroyvde,1,1,0,1
sheep-farm,31,6215,6177,1
pineapplehunter,1,1,0,1
ysfscream,3,133,10,1
treitter,2,56,3,1
jackeri,3,9,9,1
cryinkfly,1,2,2,1
ianliu,3,11,10,1
aryasenna,6,10,9,1
Yxogenium,21,226,28,1
xperia64,2,42,0,1
gobonja,1,1,1,1
realgrm,1,0,1,1
rijnhard,1,7,6,1
mtrivera,1,7,6,1
MSbitani,1,19,5,1
Leeo97one,1,1,1,1
jnv,1,1,1,1
caciobanu,2,8,8,1
MartinPesek,13,101,93,1
philipp-classen,4,33,7,1
milouse,15,287,55,1
gigitux,10,57,13,1
honnip,25,363,147,1
issakomi,12,179,142,1
AmatCoder,8,250,112,1
ZwS,1,20,2,1
ronnystandtke,1,1,0,1
Darazaki,23,90,47,1
ungoogled1,1,1,0,1
mcinglis-amzn,1,5,4,1
networkException,3,4,4,1
SokoloffA,4,19,6,1
daudix,1,19,87,1
LyesSaadi,10,543,194,1
pulsar895,1,10,3,1
jijojosephk,105,1380,421,1
Johnn3y,7,139,20,1
spoelstraethan,1,1,1,1
Matoking,47,1178,291,1
OdinVex,1,10,0,1
PopoutApps,75,1626,1389,1
ymshenyu,7,86,108,1
Rosalie241,47,308,245,1
0neGal,26,258,58,1
aharotias2,8,42,19,1
maya-doshi,2,2,2,1
otsaw,1,2,2,1
Alecaddd,7,13,13,1
alexhuntley,28,241,97,1
amikha1lov,10,129,31,1
pontaoski,13,102,62,1
artemanufrij,2,4,4,1
babluboy,21,296,155,1
Marukesu,3,255,117,1
benpocalypse,8,80,27,1
birros,47,59336,59172,1
bluesabre,5,79,33,1
bvschaik,9,28,160,1
carlos157oliveira,21,204,80,1
cfcurtis,8,615,314,1
ChildishGiant,6,153,15,1
Cubitect,18,183,112,1
d4nj1,23,187,98,1
dail8859,1,1,1,1
Dariasteam,33,1795,1642,1
dawidd6,9,37,17,1
shymega,1,2,2,1
Peter200lx,1,3,2,1
mikeeq,2,55,16,1
DevAlien,11,101,19,1
dimkr,70,166,145,1
dynobo,43,1045,319,1
edenalencar,7,58,10,1
ElTh0r0,11,43,18,1
benjamb,8,15,15,1
eneshecan,24,492,337,1
Mandarancio,1,1,1,1
Camille019,2,69,6,1
fabiocolacio,10,10,49,1
flxzt,84,487,425,1
fries1234,18,308,246,1
Allvaa,1,1,0,1
torikulhabib,53,627,100,1
geigi,94,979,790,1
giacomogroppi,33,179,103,1
GijsGoudzwaard,4,15,6,1
davvid,3,19,4,1
simsilver,2,3789,2417,1
hluk,47,400,368,1
peterNordin,29,583,198,1
hugolabe,44,200,169,1
ilai-deutel,4,582,77,1
inercia,19,307,64,1
Tracenji,1,2,1,1
Maxr1998,1,1,0,1
jmlich,19,85,35,1
JMS55,9,4908,2505,1
JoseExposito,40,194,129,1
junrrein,50,552,318,1
Asghwor,11,353,37,1
kalibari,14,120,53,1
mMerlin,1,1,1,1
Vulcalien,1,1,1,1
louis77,4,17,9,1
lxgr-linux,1,4,4,1
MaFeLP,9,243,158,1
MehdiChinoune,27,479,231,1
marhkb,38,329,232,1
marin-m,25,92,46,1
Jake-Ransom,1,4,4,1
fxha,20,422,225,1
kfeoktistoff,1,14,14,1
miguelmota,37,201,64,1
mikacousin,37,405,167,1
mtkennerly,28,7431,6139,1
sorin-davidoi,1,3,3,1
neithern,56,424,376,1
nrittsti,8,152,109,1
muayyad-alsadi,15,35,131,1
petebuffon,13,140,65,1
PolyMeilex,19,13232,8042,1
elvisangelaccio,1,50,0,1
KitsuneRal,59,190,166,1
Rafostar,72,8749,4113,1
raibtoffoletto,11,152,75,1
ransome1,20,2781,1768,1
latenightdef,1,1,0,1
R3dst0ne,2,122,1,1
rkoesters,69,1002,637,1
robertsanseries,9,225,36,1
RogerCrocker,25,142,83,1
youssefhabri,5,123,28,1
sakya,72,3399,2346,1
scrivanolabs,48,162,128,1
sdv43,4,80,7,1
sixpounder,20,1468,1371,1
fishxz,29,313,155,1
skylot,8,24,16,1
SubhadeepJasu,9,126,73,1
Suzie97,11,89,40,1
tglima,3,336,10,1
theCalcaholic,15,227,49,1
actionless,77,944,807,1
mserajnik,2,3,27,1
tmewett,2,4,18,1
treagod,10,117,27,1
vkohaupt,16,45,51,1
vladimiry,86,745,551,1
RafaelKr,2,11,2,1
tom0105,2,3,2,1
Technius,5,102,128,1
yucefsourani,26,256,245,1
sigaloid,1,1015,1067,1
zadam,40,43224,13859,1
ztefn,9,60,41,1
ColinDuquesnoy,11,59,18,1
bitseater,20,290,94,1
guillerm0p,16,169,66,1
j0chn1,92,648,493,1
kendellfab,8,272,64,1
maevemi,10,136,71,1
thegarlynch,1,1,2,1
Talinx,1,6,5,1
VincentJoshuaET,1,0,0,1
awest03,1,2,2,1
Skythrew,1,20,2,1
K-Finlay,1,11,10,1
cxrvh,2,44,22,1
rodtell,2,8,6,1
chardinson,2,0,0,1
burnermanx,7,32,26,1
amrmsaraya,12,52,41,1
xanscale,17,215,59,1
natanael-b,1,2,0,1
Centzilius,1,1,0,1
mpdeimos,1,1,1,1
monkeyWie,8,74,10,1
dGr8LookinSparky,1,1,1,1
RogueScholar,3,73,21,1
vimoi,1,17,1,1
arielj,1,53,0,1
Dryadxon,1,1,1,1
Nocccer,2,193,37,1
CommandMC,3,6,3,1
imLinguin,5,27,41,1
slembcke,10,19196,19102,1
kavplex,7,14,14,1
hwittenborn,12,140,59,1
garrett,2,139,2,1
avunix,3,51,23,1
jacokok,5,25,31,1
ddelabru,9,891,54,1
lofidevops,2,3,12,1
grillo-delmal,14,1276,255,1
hillelcoren,23,183,98,1
jwheare,9,10108,9578,1
reisbel,3,1,4,1
ernestask,1,1,1,1
1legality,1,2,2,1
it-is-I-Pants,1,2,2,1
cdegroot,1,3,3,1
fusion809,2,2,2,1
Limero,22,259,42,1
Garbee,62,736,668,1
calcastor,1,3,3,1
ignapk,1,95,0,1
appelgriebsch,5,260,126,1
rtmor,1,8,1,1
nwaizer,1,22,0,1
patriziobrunops,1,12,0,1
jbgosselin,16,210,104,1
dave-kennedy,1,10,0,1
Zoriot,1,13,0,1
smithcli,1,14,0,1
maciex,1,1,1,1
RoinujNosde,1,1,1,1
andypillip,1,2,1,1
legoktm,1,1,1,1
bcapinski,1,1,1,1
phracek,5,311,122,1
ranomier,8,213,134,1
johanfleury,10,345,15,1
freeseacher,31,1327,1053,1
ZagButNoZig,1,17,0,1
NanoSector,1,11,1,1
JetpackDuba,18,260,67,1
kadykov,1,1,0,1
davidjgraph,1,4,4,1
tleepa,14,1706,1926,1
keftie22,1,1,0,1
Sinihopea,11,304,94,1
lakoliu,1,3,3,1
codifryed,19,216,166,1
lettier,11,1720,275,1
DavidLazarescu,48,225,181,1
SimonN,1,2,2,1
Rampoina,1,1,1,1
Bad3r,3,985,841,1
daviddavo,19,35814,34880,1
kanru,88,111436,71187,1
mastercactapus,1,28,4,1
jmgibson1981,1,21,8,1
bollian,1,13,4,1
parasense,2,3,6,1
michaelkuhn,15,348,201,1
vivian-ng,15,152,117,1
Mastermindzh,10,10936,139,1
LiquidPL,1,1,0,1
svelle,12,50,47,1
petr-stefan-szn,13,71,42,1
SemaiCZE,32,500,157,1
mjakeman,15,285,196,1
kepalas,2,34,3,1
tuxtor,6,106,20,1
fgrrrtuy,1,1,1,1
linuxgemini,1,36,5,1
lizzyTheLizard,1,2,0,1
eyenpi,3,495,34,1
mil,21,290,110,1
games647,1,0,0,1
camdenorrb,1,2,2,1
mahyarmirrashed,1,24,2,1
elihunter173,1,2,2,1
PureTryOut,2,6,6,1
SystemlessDev,6,63,41,1
dominikzogg,8,24,22,1
cgutman,121,694,373,1
tobagin,29,320,290,1
fchiacchiaretta,9,171,35,1
mvgiacomello,16,8053,857,1
neatdecisions,21,345,171,1
alkk,11,281,219,1
Szwendacz99,1,1,0,1
Croydon,1,1,1,1
matbme,1,1,1,1
p-fruck,2,3,2,1
juliushaertl,16,183,48,1
thecodrr,39,125512,110104,1
sirn,1,9,2,1
sunix,1,5,2,1
bdemers,17,122,37,1
claudioandre-br,18,1069,730,1
Gaeldrin,19,518,74,1
vitimiti,1,6,6,1
OverloadedOrama,18,84,83,1
Bwc9876,31,418,231,1
alekseygrachev,6,281,140,1
oyajun,3,59,4,1
ozmartian,133,1650,1239,1
happyplace,1,1,0,1
NightHammer1000,2,11,2,1
christofferson,3,31,5,1
mindbeat,3,4,6,1
murzenus,1,1,1,1
garhow,1,1,0,1
hdonnay,8,110,9,1
simonxciv,15,218,109,1
pojntfx,8,1891,1239,1
Integral-Tech,15,233,68,1
brunoanc,56,31101,27869,1
nwin,1,1,0,1
BOFH90,1,138,18,1
tamasmeszaros,2,112,280,1
davidk,2,17,4,1
eliadevito,20,912,693,1
xarbit,117,2466,1527,1
sergeypypyrev,3,127,52,1
fernvenue,1,7,6,1
karman011,1,1,1,1
zhullyb,1,7,6,1
AzureZeng,1,8,7,1
CatEricka,1,23,1,1
WUGqnwvMQPzl,1,7,6,1
hacc1225,1,9,1,1
Rsplwe,2,14,12,1
zhuwjin,2,12,9,1
quexten,27,173,95,1
tscrypter,1,2,2,1
kreatoo,20,404,70,1
zigazajc007,19,14687,11727,1
raggesilver,19,195,120,1
Talon1024,5,10,15,1
ViktarStarastsenka,1,3,0,1
zalenskiSofteq,3,5,4,1
WingofaGriffin,1,1,1,1
hhyyrylainen,40,2548,1599,1
cscarney,16,47,17,1
rafatosta,90,316,261,1
tschlaeppi,2,1,3,1
jerrivaldo,17,118,70,1
MichaHoffmann,8,142,18,1
m1kc,1,7,2,1
marcthe12,1,1,1,1
blueyu2,1,1,1,1
mmacura311,1,8,2,1
Noammac,2,4,3,1
rmrt1n,3,15,5,1
second2050,3,7,7,1
TheShadowOfHassen,4,26,8,1
dschier-wtd,10,96,28,1
attipaci,37,157,104,1
rhjhunt,35,315,126,1
lagodimos,12,237,201,1
sireliah,14,59,24,1
wuxxin,1,22,3,1
zweimal,1,6,6,1
bluewww,1,1,1,1
neingeist,1,3,3,1
anfrantic,2,7,7,1
liuxu89,2,22,6,1
dimlev,2,4,3,1
muriloloffi,2,4,4,1
develop7,7,84,16,1
mfilipe,1,11,3,1
andrewfluck,1,13,2,1
epontan,1,2,2,1
joshbode,1,1,1,1
camporter,2,5,4,1
doccaz,32,201,72,1
Spaceslug,8,1188,130,1
Amnesia1000,1,41,13,1
LodanZark,2,4,2,1
rpavlik,5,235,13,1
PJB3005,7,398,485,1
timhowes,1,1,1,1
kumiokru,1,6,6,1
Sciler,1,4,3,1
msdrigg,1,2,2,1
vancez,2,14,1,1
AntoninoScordino,2,86,86,1
ubuntuegor,2,34,32,1
eclipseo,3,253,92,1
x10an14,3,12,12,1
JasonLG1979,8,204,30,1
baracoder,9,212,9,1
ssievert42,1,27,12,1
Dead-Lemon,2,11,10,1
ners,2,13,8,1
CapitaineJSparrow,25,243,112,1
KP2048,14,461,262,1
izissise,1,13,2,1
tymmesyde,6,4431,39,1
core1024,25,581,328,1
tobiolo,35,155,80,1
ryanpcmcquen,1,43,6,1
fariasmarcos,2,64,4,1
fnkr,3,16,5,1
ineol,10,710,252,1
christophbrill-cgmcom,1,7,6,1
wnklmnn,1,1,0,1
RushingAlien,3,6,4,1
garotosopa,1,1,1,1
00EkZ8,19,288,85,1
faeb5,1,2,5,1
jibsaramnim,2,4,3,1
lil5,5,7,6,1
gregos-winus,10,221,26,1
ids1024,15,4399,1426,1
jkoelker,3,120,2,1
Dune-jr,6,14,17,1
JesseChain,1,1,0,1
lyskouski,25,296,162,1
TheBrokenRail,49,809,712,1
darltrash,1,1,0,1
daupaloffer,4,26,16,1
gkeep,29,279,107,1
alvarlagerlof,2,14,6,1
IndrekV,18,51,51,1
oldj,4,149,7,1
tom-james-watson,2,2,3,1
toolstack,11,69,17,1
Amanse,1,88,12,1
vaf-hub,1,8,2,1
SethFalco,1,14,2,1
sarashub,2,16,4,1
mpfau,4,18,8,1
johnbotris,14,147,35,1
ganthern,43,1034,7515,1
charlag,60,1505,893,1
Zzombiee2361,1,1,1,1
Tim453,25,1275,1169,1
InfiniteLoopGameDev,1,89,0,1
matt1432,1,2,2,1
springbov,1,1,1,1
Philipp-M,1,6,0,1
asm0dey,1,1,1,1
Kinsteen,1,28,28,1
mphojele,1,1,0,1
koplo199,3,288,195,1
francescomasala,3,72,1,1
snowzach,1,2,2,1
bastian-src,1,1,0,1
ThatOneCalculator,1,2,2,1
helloanoop,13,166,32,1
bflanagin,41,68705,67969,1
moviuro,1,6,1,1
joyov,1,0,1,1
mcd1992,1,12,0,1
salarua,1,2,25,1
g2p,1,6,1,1
rabidlogic,1,1,1,1
Tomin1,2,18,3,1
heindsight,2,8,0,1
kujeger,3,15,16,1
EspadaV8,3,21,8,1
jpumc,4,18,7,1
pablodav,4,22,11,1
sekalengrengginang,7,72,8,1
kisak-valve,1,9,0,1
slouken,12,564,336,1
subins2000,4,987,806,1
ZachBacon,8,392,259,1
tatodorov,1,4,0,1
ma3yta,1,2,2,1
vicr123,9,142,42,1
vwalek,1,7,2,1
Praymundo,1,1,1,1
Eskander,1,0,0,1
felipemarkson,1,7,7,1
jcdickinson,1,4,0,1
m93a,1,8,0,1
walking-octopus,1,10,6,1
ironhaven,1,1,1,1
johnjelinek,1,4,0,1
ran-dall,2,52,17,1
jcnils,4,80,9,1
mzabaluev,12,36,43,1
nikodunk,17,39,33,1
rnovacek,1,2,1,1
da2x,1,6,6,1
ruario,4,44,16,1
paradoxicpotato,1,7,2,1
steinex,1,1,0,1
JohnVeness,1,2,2,1
claviola,1,5,4,1
saolof,1,1,1,1
PgBiel,1,1,0,1
uaqben,1,1,1,1
catdevnull,1,10,0,1
RalfJung,2,17,3,1
vtrenton,2,59,17,1
22p,1,76,31,1
vzhd1701,30,1884,515,1
dgud,8,331,151,1
Micheus,8,192,158,1
bevsxyz,1,1,1,1
exjaynine,60,8151,8006,1
firefoxlover,1,0,2,1
alastortenebris,1,2,2,1
selmf,16,726,258,1
yktoo,10,238,77,1
brugr,1,135,764,1
gdonval,1,2,1,1
austin-ek,2,2,1,1
MrSyabro,5,276,121,1
oskarkook,2,17,0,1
DenysMb,8,103,12,1
connorjclark,22,222,45,1
nkukard,2,12,2,1
jeanroyce,2,29,22,1
yuhldr,6,187,111,1
okias,3,72,40,1
krupkat,22,496,367,1
ondratu,5,321,34,1
Blenux,1,287,30,1
StandingPadAnimations,52,830,440,1
crepererum,11,275,125,1
hofmmaxi,1,1,0,1
outergod,7,191,96,1
misery,25,105,79,1
create3000,63,1648,1086,1
b-kirchner-f19,16,313,172,1
de-finnik,5,85,3,1
flinkebitsmachineuser,13,238,24,1
gwutz,11,3641,51,1
Iolaum,1,1,1,1
ChrisHal,17,363,79,1
HenriWahl,3,7,3,1
likg,3,28,10,1
glesys-andreas,7,550,578,1
d-k-bo,8,87,18,1
wshanks,18,421,316,1
JMoerman,17,65,141,1
nicokimmel,12,2990,2937,1
peterge1998,21,88,18,1
haustermann,1,1,1,1
ocrete,1,2,2,1
ChristianFeldmann,3,5,5,1
Sesu8642,6,127,73,1
TheComputerGuy96,6,9,4,1
maltejur,28,81,49,1
Syping,20,159,134,1
COM8,28,451,207,1
langurmonkey,56,610,537,1
SoongNoonien,3,55,13,1
rolandgeider,9,100,39,1
tobias-hammerschmidt,14,80,70,1
webagentur-hartmann,14,26,13,1
zwarf12,14,246,50,1
Diegovsky,1,1582,1181,1
zyxmdvs,4,13,28,1
xou816,30,12548,7659,1
rawdatafeel,1,15,0,1
brandonbeaumia,1,1,1,1
Grafcube,10,275,226,1
bragefuglseth,13,94,35,1
edfloreshz,32,1835,1783,1
SpartanJ,18,164,54,1
rankynbass,1,5,0,1
marzent,1,24,25,1
tommadness,1,1,1,1
Blooym,2,429,134,1
caprine-deployer,3,94,88,1
goaaats,33,3444,1871,1
TheRealMatthew4,1,1,1,1
supermxn,3,8,8,1
Brainfree,7,191,9,1
makarov-roman,2,6,3,1
panekj,2,3683,2770,1
YoussefLasheen,11,856,477,1
sergey-levin,3,71,5,1
CodeDoctorDE,27,441,390,1
ReenigneArcher,2,8,7,1
LukeBriggsDev,22,636,388,1
mrquantumoff,115,760,697,1
confused-Techie,1,1,1,1
leotada,1,5,5,1
oneilmw,2,3,0,1
cat-master21,36,406,241,1
ruuzia,8,79,56,1
DRSchlaubi,26,149,54,1
serebit,6,32,8,1
jgillich,12,127,71,1
ImUrX,16,39557,21345,1
SoMuchForSubtlety,1,5,9,1
lewisakura,25,469,340,1
Jelmerro,1,16,20,1
zelikos,19,3926,2284,1
aadcg,27,334,205,1
Ad5001,51,1620,869,1
cichy1173,13,104,41,1
ergoithz,16,189,94,1
ngelsi,7,283,102,1
anieuwland,8,3098,1896,1
claudex,4,30,3,1
niccokunzmann,9,184,16,1
marcoscarpetta,28,178,144,1
jacquetc,39,155,94,1
stethewwolf,3,5,5,1
s09bQ5,11,1972,46,1
rilian-la-te,1,39,2,1
Tykky,22,159,112,1
Heliozoa,24,191,190,1
velten-dev,25,148,94,1
jistr,1,2,2,1
ulysg,1,37,6,1
rootmeanclaire,14,333,304,1
Deleranax,7,16,16,1
fgrabenstaetter,10,52,17,1
unholyeyebrows,1,2,2,1
EmmanuelP,18,256,76,1
be1,10,55,34,1
BofilFR,4,147,110,1
henri2h,9,195,52,1
Yvan-Masson,30,339,94,1
devernay,2,2,1,1
Nytuo,9,8164,219,1
louisrubet,9,143,51,1
sgued,11,3587,1127,1
zoeyfyi,6,780,572,1
SiongSng,27,253,141,1
turtlegarden,10,62,19,1
wbernard,9,140,21,1
bertob,33,182,90,1
tulir,1,1,1,1
edwargix,2,2,2,1
Raatty,11,149,44,1
krille-chan,55,351,334,1
lnjX,23,107,162,1
rohmishra,1,1,1,1
davidmehren,1,1,0,1
1bcb,1,1,1,1
Staudey,1,1,1,1
Feinzer,2,10,5,1
q234rty,3,3,3,1
SilverRainZ,22,31,23,1
ajbura,1,2,2,1
kfiven,47,28985,33745,1
hexagonrecursion,1,0,3,1
dmytro-lytvyn,1,1,1,1
Born2Crawl,12,4889,4911,1
p2004a,24,40988,50355,1
tobias47n9e,39,26077,10296,1
gholmlund,11,599,115,1
valos,174,4188,2172,1
Gert-dev,1,1,0,1
urcadox,1,3,2,1
maweil,2,1,1,1
Morpheus1w3,1,1,1,1
deisi,3,204,44,1
buchen,4,21,6,1
roshanshariff,20,350,441,1
umlaeute,8,174,36,1
TorrSamaho,1,2,2,1
smplayer-dev,11,297,72,1
jneem,18,4349,1295,1
yodatak,1,6,2,1
rileyhawk1417,2,19,4,1
Danik1601,3,3,1,1
LucasXu0,31,456,239,1
matthewwardrop,1,1,0,1
fredluetkemeier,18,118,19,1
DoctorJohn,51,436,129,1
sderosiaux,1,2,2,1
thopiekar,1,1,1,1
tdgroot,1,8,2,1
bclindner,1,1,0,1
samiconductor,2,43,6,1
gsaulmon,2,38,51,1
dtchanpura,13,211,216,1
Bogdanp,13,102,71,1
dvdmuckle,8,25,43,1
ricotz,1,2,2,1
ShobuPrime,21,872,218,1
kenxjy,1,4,4,1
dvreed,1,6,5,1
gtklocker,1,3,3,1
JeffLabonte,1,4,4,1
jeiche,2,8,6,1
rdrsss,2,8,8,1
KJ2ME,3,12,12,1
tomaswarynyca,8,37,27,1
vardle,10,20,20,1
danialbehzadi,21,624,331,1
Aiz0,1,0,1,1
gitcontrib0,1,1,0,1
SamuelTzR,2,2,2,1
mat8913,30,47255,47112,1
PrestonN,42,205,131,1
AlexandreSi,11,62,20,1
4ian,20,213,55,1
ClementPasteau,26,225,61,1
Neluji,1,1,1,1
Adda0,11,1175,116,1
Bollos00,17,151,32,1
ebbit1q,3,13,9,1
tooomm,53,239,166,1
Dretch,30,6706,5531,1
FailurePoint,19,57,19,1
ChugunovRoman,15,689,239,1
tzfljuv,2,3,3,1
Nathan-LS,13,265,63,1
JakubMelka,24,285,237,1
deepbluev7,24,426,547,1
redsky17,24,690,302,1
NickKarpowicz,21,239,64,1
flurick,1,2,2,1
Rirusha,11,81,65,1
schrottkatze,2,12,12,1
Curve,1,2,2,1
D3SOX,39,217,125,1
magicmyth,6,740,86,1
Wakeful-Cloud,8,446,211,1
TheWisker,6,138,49,1
0xzer0x,24,219,195,1
aandrew-me,37,17883,14627,1
aknarts,61,329,283,1
adenlall,23,137,114,1
tim-gromeyer,5,68,27,1
aerocyber,19,410,370,1
alainm23,30,481,335,1
LiveLM,6,96,118,1
amit9838,5,82,83,1
amit-newstok,11,130,55,1
andreibachim,2,6,226,1
MessiasLima,11,749,604,1
babaissarkar,10,128,80,1
benini,10,1334,1211,1
adamj-codethink,2,3,2,1
bkueng,4,45,8,1
brainstormtrooper,12,117,75,1
brunoherbelin,10,257,153,1
Bytezz,13,51,12,1
carterbox,26,397,234,1
cboxdoerfer,16,64,27,1
amritbrar,1,10,10,1
anenasa,1,3,3,1
cges30901,14,168,115,1
devastate347,1,1,1,1
congard,7,32,10,1
ctlcltd,12,61,34,1
dagargo,8,55,15,1
david-swift,10,155,18,1
DavidDeSimone,4,12,36,1
david-sunblink,5,82,14,1
Davidoc26,9,64,16,1
ddanilov,5,39,12,1
dfandrich,7,219,152,1
dgsasha,24,166,50,1
dida-code,5,45,6,1
diegopvlk,42,108,43,1
dimtpap,6,94,11,1
divVerent,102,2160,1759,1
dlippok,27,61,40,1
TheJanzap,1,51,2700,1
dreamer,7,68,17,1
dubstar-04,19,182,128,1
loathingKernel,3,104,85,1
Dummerle,26,556,258,1
Dvlv,30,1366,105,1
whorfin,1,1,0,1
dweymouth,1,1,1,1
anarcat,71,2819,1852,1
dyegoaurelio,11,66,25,1
xplshn,90,515,324,1
quyykk,14,93,120,1
AtomHare,9,100,609,1
davidarnold,23,184,65,1
fabrialberio,23,195,85,1
ferraridamiano,19,247,195,1
fin-ger,1,0,1,1
fizzyizzy05,5,42,4,1
heliguy4599,14,83,25,1
secext2022,9,207,61,1
foldynl,3,84,88,1
FoxxMD,23,31200,18761,1
gamingdoom,22,1136,173,1
cspiegel,9,945,157,1
gen2brain,7,603,69,1
GerryFerdinandus,2,47,2,1
dsboger,19,128,50,1
glaumar,8,79,26,1
GleammerRay,30,487,435,1
shiplin,2,4,4,1
maxtron95,28,236,109,1
HelpSeeker,14,238,98,1
hermitdemschoenenleben,17,654,201,1
lleyton,1,3,2,1
roypen,11,4777,98,1
thorpelawrence,16,7453,1879,1
thrimbor,7,107,7,1
hypengw,36,104,80,1
iSlammedMyKindle,8,623,363,1
igorlogius,18,45,19,1
zenseii,1,2,2,1
undef21,2,12,0,1
ilius,3,28,2,1
Jacalz,39,176,84,1
janbar,121,230,233,1
jeffshee,16,1777,554,1
jhaygood86,15,250,128,1
jliljebl,27,274,154,1
JonMagon,9,117,73,1
jorchube,33,168,90,1
kaii-lb,11,2326,129,1
kalaksi,36,4361,1958,1
kaschpal,14,93,19,1
KoromeloDev,18,82,51,1
EricKotato,7,12,29,1
kukuruzka165,7,41,94,1
incycledream,9,1275,587,1
Bnyro,8,60,13,1
leolost2605,6,54,28,1
leonardschardijn,13,81,42,1
lethal-guitar,6,95,39,1
calvinweb,34,9808,3739,1
ManeraKai,37,8692,2632,1
limads,8,166,98,1
Ortham,11,176,123,1
