Contributor,Commits,Added,Deleted,Repos
lruzicka,4,1221,342,1
ltiber,7,151,97,1
zeyus,1,2,1,1
lxndr,6,104,13,1
MadDeCoDeR,37,862,474,1
mahmoudbahaa,9,142,91,1
mak448a,43,253,101,1
mandruis7,8,7400,165,1
marco-calautti,3,28,3,1
markummitchell,14,256,279,1
martinrotter,31,193,158,1
MaurycyLiebner,47,47,47,1
miDeb,18,168,108,1
mike632t,3,14,14,1
macmpi,12,397,255,1
mimbrero,18,10770,3395,1
mki1967,33,264,148,1
MMarco94,2,14,11,1
mmstick,3,16,15,1
mpobaschnig,23,305,146,1
MrMYHuang,21,76629,70617,1
mrvladus,67,358,181,1
onpon4,18,110,189,1
najepaliya,11,242,127,1
Argent77,6,232,31,1
neil-morrison44,1,1,1,1
Teeed,1,4,15,1
dennwc,1,761,0,1
nroduit,25,1800,5846,1
nuttyartist,1,2,1,1
onionware-github,11,235,182,1
orontee,20,218,44,1
paulwedeck,9,372,189,1
pd-l2ork,28,1171,892,1
peazip,4,4,2,1
pinty,1,1,0,1
PhilipK,66,15473,10093,1
polypixeldev,5,78,19,1
punesemu,10,457,50,1
PurpleHorrorRus,129,638,552,1
asbytes,30,3248,2515,1
Green-Sky,3,14,6,1
anthonybilinski,4,13,10,1
sudden6,6,298,201,1
robschi,10,167,106,1
qwersyk,14,62,22,1
rafaelfassi,4,44,12,1
ThanatosGit,1,3,2,1
duncathan,1,5,5,1
henriquegemignani,19,105,47,1
RetGal,60,534,378,1
Riftr,11,214,120,1
topjor,1,2,1,1
cy8aer,2,53,5,1
ripose-jp,9,1050,248,1
jvalecillos,1,1,1,1
santiagocezar,36,364,288,1
abitrolly,1,1,1,1
solopasha,3,99,36,1
Summertime,1,1,0,1
lmeunier,2,46,0,1
sharkwouter,1,26,0,1
aminya,1,2,0,1
shiftkey,1,0,5,1
tbsteinb,1,1,1,1
BoofOof32,2,2,2,1
XboxDevStore,5,27,33,1
SirMangler,19,509,298,1
n8marti,29,430,256,1
heroesiiifan,17,410,166,1
Xathros1,1,1,1,1
aschiavon91,1,1,1,1
SpacingBat3,1,1,1,1
MenacingPerson,3,3,2,1
SpidFightFR,6,77,54,1
vega-d,10,12,14,1
katsy,19,412,275,1
streetpea,22,704,308,1
swanux,15,2877,738,1
gzqx,1,4,2,1
tehcneko,17,1501,805,1
technic,12,58,34,1
ThaUnknown,1,1,0,1
sambuca1g,9,108,16,1
JakeSmarter,2,111,39,1
TheTumultuousUnicornOfDarkness,20,415,148,1
TLCFEM,33,360,241,1
TNTwise,37,246,152,1
FacundoAcevedo,4,13,19,1
tralph3,22,525,426,1
trigg,42,911,290,1
UnicornyRainbow,10,73,43,1
unknownskl,30,6970,1222,1
jeremysanders,2,232,518,1
hipersayanX,10,241,124,1
wereturtle,6,140,25,1
wh201906,7,22,97,1
wojciech-graj,9,115,86,1
shenlebantongying,12,198,16,1
xolatgames,5,49,24,1
xverizex,32,221,179,1
xyproto,2,6,4,1
MayeulC,10,149,28,1
Red1C3,15,120,40,1
Ame-chan-angel,4,28,42,1
germe-deb,35,362,270,1
zhrexl,21,100,61,1
Nova-Aurora,1,1,1,1
elboulangero,54,363,230,1
saytamkenorh,10,308,146,1
tigercoding56,45,289,193,1
virxkane,14,317,221,1
cyberphantom52,11,153,95,1
dev-nis,10,93,73,1
lainedfles,1,5,5,1
sentriz,1,23,0,1
shellheim,2,3,1,1
Stebalien,5,16,51,1
lsfxz,43,247,194,1
jangernert,15,141,91,1
abstractdevelop,15,109,627,1
Master811129,4,21,8,1
melix99,5,199,90,1
zehkira,47,653,433,1
tmrdev,7,148,32,1
flexagoon,12,219,28,1
azagaya,1,1,0,1
glevner,13,181,64,1
drwhut,5,83,19,1
Keyikedalube,9,113,76,1
Nordup,8,58,59,1
CredibleOpossum,32,247,92,1
ann0see,2,5,3,1
joao-p-marques,10,191,28,1
tomekit,37,909,366,1
SakiiCode,1,68,1,1
PhysSong,1,23,0,1
georgewoodall82,18,280,140,1
tur1ngb0x,1,0,0,1
Seil0,1,3,3,1
Homer666,1,1,1,1
jeromebruzaud,2,4,4,1
kicsyromy,20,12152,7380,1
dawidpotocki,1,15,2,1
Man2Dev,1,1,1,1
Guldoman,2,4,4,1
easrng,9,56,3,1
kevinlekiller,18,549,235,1
ChristopherHX,93,1885,1445,1
waozi-dev,59,437,365,1
brunolpsousa,1,1,1,1
yvesnrb,9,153,41,1
jasonmacduffie,10,306,134,1
DylanC,7,13,13,1
deboer-tim,1,461,437,1
slemeur,1,9,2,1
themr0c,1,2,2,1
dgolovin,1,479,614,1
jeffmaury,2,1384,600,1
vzhukovs,2,738,380,1
cdrage,15,1325,582,1
benoitf,31,22528,8381,1
zaguragit,15,46,39,1
lbalazscs,7,108,53,1
gerstrong,27,121,51,1
enz,1,1,1,1
joeraz,6,1029,79,1
alexnovichkov,11,5818,12,1
TheNexusAvenger,19,488,1094,1
mattg-uk,2,74,1,1
clansty,1,2,1,1
LeonStaufer,1,1,1,1
Ozymandias42,2,7,2,1
abnerlee,3,12,7,1
RaptaG,1,625,6,1
kolaente,18,143,93,1
antage,1,2,2,1
minioin,1,3,3,1
iman-salmani,25,97,54,1
gcala,6,41,7,1
Fabio286,18,45541,14540,1
varcharfoobar,2,2,2,1
mschlumpp,4,5,5,1
leftybournes,7,187,226,1
Bohooslav,37,11156,13151,1
martinszeltins,2,54,14,1
KrisNathan,1,1,1,1
akosiaris,1,5,0,1
afland,1,10,1,1
acristoffers,5,223,43,1
aphototool,6,69,20,1
0chroma,5,158,49,1
lw64,8,112,52,1
cognition9144,29,62441,31958,1
kasraghu,1,2,2,1
dnlburgess,1,1,1,1
njean42,1,3,3,1
ppvan,20,152,37,1
pablo-s,14,123,49,1
sp1thas,19,212,110,1
MrSquaare,1,15,15,1
vigress8,3,3,3,1
tallero,24,621,326,1
Dragicafit,10,168,156,1
AxelTerizaki,27,7975,190,1
m4tx,11,12765,8716,1
esodan,15,214,161,1
agalwood,1,2772,3885,1
leogott,1,2,2,1
NameLessGO,1,1,1,1
aggressivepixels,1,12,4,1
ashahir05,2,27,2,1
ingemarberg,35,777,78,1
bartkessels,6,91,21,1
oliv3,152,439,819,1
SegHaxx,11,220,175,1
raffaem,1,8,2,1
billwanjohi,1,1,1,1
vitaliis,2,10,1,1
timsee,19,156,108,1
DoodlesEpic,1,0,1,1
jmeloranta,18,173,58,1
tcitworld,1,1,1,1
jonri,9,383,210,1
james2432,1,1,1,1
svin24,1,1,0,1
craigz,2,3,3,1
sonic2kk,5,8,1,1
DavidoTek,52,646,361,1
nparr-devo,3,118,29,1
jlafontaine-devolutions,50,240,150,1
askmeaboutlo0m,4,191,38,1
callaa,19,94,70,1
dasaferi,3,7,7,1
Faster3ck,11,463,188,1
giuspen,21,359,100,1
Huitsi,3,31,11,1
TabulateJarl8,15,2582,500,1
FuchtelJockel,105,8572,9174,1
stefanha,1,1,1,1
Jenyay,292,1403,683,1
fabrixxm,7,132,23,1
k-u-bux,6,8,10,1
nadiaholmquist,11,578,391,1
Corvonn,23,248,88,1
line72,21,596,30,1
jwrober,17,886,616,1
Lugsole,13,100,633,1
julianschacher,1,25,0,1
duodec1m,4,14,13,1
strycore,71,1270,678,1
alemuntoni,8,38,17,1
sofar,1,4,4,1
rubenwardy,2,153,15,1
ruihildt,1,3,0,1
natesales,4,130,68,1
gianni-rosato,15,90,57,1
nokyan,13,4779,2098,1
bcrochet,6,68,65,1
wine,1,3,2,1
gal20,3,87,91,1
peerchemist,40,264,136,1
XargonWan,57,38161,37448,1
dariox86,1,2,0,1
mhoeher,183,652,582,1
Arctize,1,3,3,1
charles-m-knox,1,2,2,1
bbrauchl,2,3,1,1
Adam-,9,14,17,1
abb128,9,146,54,1
bertogg,31,1317,726,1
BeardOverflow,22,4138,1946,1
porras,4,699,505,1
rapgenic,1,2,1,1
chaosjug,2,4,1,1
averms,1,1,1,1
Jules-Bertholet,2,3,3,1
swwa,6,79,5,1
ritzk,1,3,31,1
momits,1,2,1,1
hsn10,8,88,11,1
fcomida,5,121,19,1
anxolerd,15,826,66,1
ender672,21,459,252,1
thp,5,49,12,1
yump,1,1,1,1
alexwarddev1230,2,3,3,1
applecuckoo,1,40,0,1
cosmo-ray,1,1,1,1
necessarily-equal,8,231,17,1
illwieckz,13,132,54,1
xMAC94x,2,2393,1572,1
Frinksy,13,15325,8436,1
madsmtm,1,0,1,1
AtomYcX,1,1,2,1
Imberflur,1,1,0,1
Songtronix,1,1,1,1
reacocard,1,12,0,1
FloridaMan7588,35,585,395,1
WerWolv,26,111,161,1
kai-li-wop,2,31,16,1
past-due,6,14,13,1
rndevfx,11,97,68,1
XRenSiu,35,269,110,1
Adurol,1,2,2,1
Austinuity,1,1,1,1
zorgiepoo,6,213,121,1
NikolasK-source,25,383,200,1
chairmantheboring,1,2,1,1
Bilb,4,23,14,1
Mikunj,6,21,12,1
MartijnBraam,6,252,141,1
fbruetting,2,2,2,1
Hjdskes,2,39,3,1
futuretim,1,37,0,1
oli747,2,82,74,1
inorick,1,1,1,1
cantalupo555,1,3,3,1
TheChilledBuffalo,3,8,5,1
surapunoyousei,3,17,12,1
creeper-0910,6,41,18,1
dominichayesferen,23,80,53,1
typeling1578,39,715,224,1
nexryai,47,163,76,1
AlynxZhou,5,62,38,1
jiri-one,11,224,125,1
jwr1,8,368,162,1
boyan01,27,295,197,1
itzgoldenleonard,6,2219,17,1
aless2003,25,190,119,1
jahed,1,1,1,1
Leseratte10,1,1,0,1
mireiabragulat,1,5,5,1
n1ckoates,1,2,2,1
KamilaBorowska,2,3,9,1
Dark98,7,301,91,1
alienarena,5,10,5,1
PistachioGuy,30,6655898,6655819,1
o-kotb,9,413,281,1
bksubhuti,11,101,63,1
kaechele,1,1,1,1
odzhychko,1,3,2,1
Torbuntu,1,1,1,1
batashi,4,188,91,1
groeggo,4,328,15,1
zmanuel,22,144,138,1
k1mu,4,6,16,1
ramesh45345,1,5,5,1
feltcat,1,3,3,1
mwilck,6,1810,8,1
foo-dogsquared,1,3,1,1
Bionus,5,7532,5,1
un-def,1,1,2,1
komachi,1,4,1,1
achow101,5,7,2,1
elementc,1,6,2,1
BlackcoinDev,11,30,30,1
Manumerique,1,2,2,1
vjar,1,25,0,1
sean-clayton,1,3,2,1
TheFlagCourier,2,5,4,1
plafue,2,3,3,1
avanderbergh,2,14,15,1
nachokb,2,4,4,1
connectety,1,4,3,1
jess-sch,5,21,17,1
MTRNord,3,19,1,1
benthetechguy,8,189,35,1
iakmds,51,442,401,1
mbunkus,89,276,238,1
BillZaumen,6,326,250,1
allejo,4,17,6,1
blast007,10,53,25,1
carlocaione,4,70,4,1
cobratbq,129,3062,1811,1
tmontaigu,3,14,82,1
rjanvier,52,688,627,1
martinpitt,1,12,2,1
christianparpart,37,1733,1535,1
overheadhunter,3,6,69,1
SailReal,19,2171,2144,1
purejava,41,4178,956,1
infeo,59,3635,3458,1
d3cod3,42,560,317,1
tomtsagk,3,68,12,1
musoke,1,1,1,1
julianrichen,2,3,3,1
Sturmflut,3,82,204,1
prasser,9,201,350,1
oynqr,1,7,0,1
KaspianDev,2,3,2,1
JoseAAtoche,1,3,3,1
stove-panini,1,2,1,1
icarito,1,2,2,1
robertxgray,6,148,20,1
tsunamistate,12,274,183,1
stenzek,17,230,196,1
huxingyi,6,117,7,1
xvitaly,6,15,18,1
carstene1ns,11,329,69,1
mickaelistria,1,1,1,1
gredler,1,4,1,1
stargazer3240,1,5,2,1
vrubezhny,1,1,0,1
nelson777,6,15,7,1
azoitl,1,0,0,1
behrisch,10,18,80,1
vially,1,0,16,1
yanchenko-igor,1,191,1,1
thejavascriptman,2,34,31,1
xmready,3,19,2,1
trueromanus,10,87,62,1
berrange,2,231,50,1
equeim,27,176,79,1
jdev082,1,3,3,1
renovate[bot],1,11,5,1
waybackarchiver,25,289,132,1
hajdam,4,63,14,1
BleuBleu,39,1077,405,1
AltNico,34,1476,1188,1
tstoeckler,1,1,1,1
nr23730,2,5,3,1
Alphrag,3,14,17,1
tangleloop,3,7,6,1
HadetTheUndying,12,44,25,1
erciccione,1,106,0,1
borgmanJeremy,11,589,552,1
elehcim,4,24,11,1
Vanadiae,25,276,218,1
flyinghead,1,1,1,1
scribam,2,2,10,1
enzo1982,45,56688,35520,1
lock042,68,513,444,1
haasalex,1,1,0,1
Marzal,1,7,8,1
jlHertel,20,559,115,1
Dansito,39,622,466,1
puxplaying,1,3,2,1
Garbulix,10,33,23,1
changwuf31,1,6,6,1
esamson,1,4,4,1
jeanas,3,4,7,1
183amir,5,64,10,1
lovetox,11,176,130,1
leonardozilli,1,1,0,1
BrainWracker,1,1,0,1
milotype,1,14,0,1
artscoop,2,8,3,1
amolenaar,32,1303,916,1
danyeaw,112,2430,2166,1
VarLad,1,3,3,1
jnohlgard,1,12,6,1
AlessandroBono,39,263,200,1
dlnnlsn,1,6,6,1
mbastian,7,152,9,1
Ayush1325,8,6957,2233,1
jerbmega,1,40,22,1
brunolopesdsilv,1,0,51,1
supertobi,1,1,1,1
Jehan,3,0,3,1
novomesk,5,106,16,1
HarryMichal,5,481,263,1
shuliande,3,8,8,1
antoniojpfernandes,1,1,1,1
hbkfabio,1,2,2,1
smspillaz,1,6,6,1
timway,11,207,102,1
noonien-d,1,248,0,1
qnixsynapse,1,3,3,1
rh-tcloud,1,4,4,1
philipstewart,3,35,9,1
Mikenux,1,1,0,1
gpoo,22,143,468,1
kortschak,1,1,1,1
mcrha,2,89,48,1
davidmhewitt,2,32,4,1
zecakeh,3,48,119,1
topminipie,1,1,1,1
larathbone,2,10,8,1
diegogangl,10,144,25,1
egrath,1,1,1,1
cagatay-y,5,148,19,1
rabin-io,18,130,47,1
JonathanKang,1,111,0,1
pp3345,1,1,0,1
alex285,1,2,2,1
mlundblad,13,149,195,1
fosero,3,10,11,1
artyomd,1,1,1,1
phako,50,952,640,1
eheintzmann,1,97,0,1
nexcode,1,1,1,1
jvnknvlgl,1,5,5,1
shdwchn10,1,1,0,1
bkoropoff,1,38,0,1
Swissbite,1,3,3,1
miabbott,1,23,0,1
jordimas,9,14,14,1
jbicha,2,3,3,1
bazylevnik0,14,112,74,1
dqpb,11,389,222,1
ilhooq,13,157,100,1
johannesjh,13,8223,7011,1
powimod,9,60,39,1
kaiw,1,3,9,1
avtechmjc,7,59,13,1
rohanlean,1,1,1,1
zoglesby,3,22,23,1
muep,32,9792,9579,1
blp,14,121,79,1
fellen,3,11,4,1
gjanssens,28,2229,1477,1
jralls,104,912,829,1
nmaggioni,8,144,38,1
j20001970,2,3,9,1
snizovtsev,1,1,1,1
OzarkShepherd,78,1143,659,1
abompard,19,187,91,1
SNNafi,11,764,395,1
mgedmin,1,10,41,1
tristanheaven,5,50,21,1
guerinoni,2,23,2,1
GustavoPeredo,36,51,50,1
Arzumify,3,4,4,1
hnm-duncan,14,563,199,1
hotlittlewhitedog,20,334,76,1
theGreatWhiteShark,1,8,1,1
nicktelindert,1,1,0,1
meisenzahl,1,2,2,1
samuelstjean,2,4,4,1
ntonnaett,30,247,150,1
tkopecek,1,7,0,1
jonathon-love,241,52415,24485,1
vandenman,4,6,6,1
RensDofferhoff,13,279,252,1
JorisGoosen,51,15214,15001,1
salim-b,1,1,1,1
abhi-deshpande,1,1,0,1
KuSh,10,97,96,1
pmontepagano,2,2,1,1
wvengen,7,2748,90,1
jreleaserbot,8,994,673,1
aalmiray,15,648,446,1
BinaryGenius,1,3,2,1
jkonecny12,1,3,3,1
nukeop,42,248,254,1
kpthedev,36,138,41,1
gdesmott,9,12556,12334,1
RokeJulianLockhart,1,6,13,1
anthr76,10,361,233,1
cgilles,1,2,6,1
cyclane,1,1,0,1
Shoshak,2,78,0,1
mgallien,35,506,343,1
Maryse47,1,2,1,1
Idesmi,1,16,31,1
jriddell,4,38,17,1
vkrause,8,130,191,1
jpwhiting,7,80,5,1
zaclegarssure,1,1,1,1
faridosc,1,2,2,1
j-b-m,1,1,1,1
jrelvas-ipc,1,0,3,1
frdbr,43,359,126,1
jlskuz,48,778,732,1
reporter123,2,4,4,1
ufleisch,9,83,86,1
detrout,4,80,1,1
danvratil,50,2728,1395,1
derekjc,1,2,2,1
superuser-miguel,1,1,1,1
ripxorip,14,180,25,1
sebasgo,9,220,174,1
gerlachs,80,2542,1351,1
mbruchert,5,60,3,1
ByteOtter,5,10,10,1
maxrd2,8,3046,254,1
herzenschein,12,3694,3603,1
astrorobby,7,111,33,1
bestlinuxgamers,1,2,0,1
ahaczewski,3,20,19,1
droidmonkey,7,99,90,1
mgautierfr,3,225,136,1
kiwixbot,41,317,172,1
kosmospredanie,4,72,9,1
DamirPorobic,9,25,19,1
jsgf,1,10,1,1
jesmg,7,151,8,1
jamalex,9,2203,1585,1
leozide,2,69,1,1
aviwad,16,159,102,1
ondrejholy,1,2,2,1
xlejo,1,1,0,1
stbergmann,222,15087,7095,1
dbrgn,4,58,125,1
ubruhin,9,111,14,1
Altonss,1,1,1,1
gmdvieira,1,5,1,1
TigraTT-Driver,1,155,11,1
jbaiter,1,26,0,1
Makman2,2,68,29,1
jcupitt,41,18511,17958,1
lvc,1,1,1,1
linuxhw,115,1896,1362,1
FrancescoCeruti,15,929,358,1
hustler-not-chatty,1,11,2,1
Tienisto,15,76,32,1
jrezai,8,348,186,1
umago,1,4,7,1
syvb,2,25,6,1
bjorn,13,30,33,1
mbasaglia,11,53,15,1
metal3d,5,150,8,1
Subject38,9,6296,1144,1
m4u9,6,4,19,1
ShvonderSiN,9,866,417,1
uklotzde,2,4,4,1
djantti,9,499,298,1
cbarraud,1,16,4,1
alois31,1,2,2,1
sumwale,1,134,134,1
lmarz,2,13,6,1
dandarnell,1,12,0,1
xhorak,1,15,0,1
michaelrsweet,16,181,77,1
hakpw,17,34,36,1
KelvinNovais,1,2,0,1
KasukabeDefenceForce,3,15,2,1
Q32IT,2,2,2,1
kyllikki,3,143,31,1
diemmarkus,23,852,706,1
joelkraehemann,432,5051,4110,1
dimztimz,2,8,25,1
NuspellDevOps,2,156,13,1
PanderMusubi,15,113,115,1
siko1056,5,11,22,1
mtmiller,63,686,502,1
SaptakS,3,197,133,1
micahflee,20,1318,1397,1
agolybev,2,7,10,1
ShockwaveNN,4,64,2,1
romandemidov,30,203,187,1
tsterbak,30,522,292,1
jcaesar,17,448,266,1
bdbcat,65,162,377,1
segrax,2,7,4,1
kobus-v-schoor,17,164,48,1
shinyquagsire23,75,256,199,1
ILightburn,11,708,395,1
sangsatori,1,1,1,1
L-P,4,29,4,1
JanisV,12,184,57,1
bahorn,1,1,0,1
peterwilli,1,2,2,1
t-paul,27,624,343,1
qu1ck,7,35660,6025,1
tsmock,14,170,88,1
alemart,13,561,475,1
justusranvier,10,262,78,1
auge8472,1,1,1,1
otfried,1,11,3,1
gkarsay,20,514,407,1
mmatyas,4,46,15,1
J5lx,4,20,40,1
Ryuukyu313,9,50,15,1
tsaunier,2,32,21,1
aleb,5,489,390,1
pjbroad,56,6005,302,1
binex-dsk,2,2,2,1
LennyMcLennington,6,5,8,1
gitne,2,282,25,1
byquanton,2,3,0,1
SolarLiner,11,69,103,1
saivert,2,4,3,1
Zer0xFF,13,90,26,1
ronys,8,114,51,1
abcfy2,2,10,10,1
Chocobo1,52,330,147,1
scorpio810,3,6,33,1
kikislater,1,2,2,1
palmerj,1,329,21,1
andrew-hardin,1,2,1,1
sa5bke,1,26,1,1
agiudiceandrea,4,8,8,1
stobbsm,1,3,2,1
pbek,7,17,8,1
andyhubbert941,34,96,66,1
benwaffle,11,116,48,1
jdolan,2,17,12,1
ysiraichi,1,190,183,1
torsava,2,80,3,1
capfredf,7,119,20,1
bhatman1441,4,127,127,1
myheroyuki,8,66,41,1
larchunix,57,317,256262,1
antenore,143,258328,734,1
EmuB0y,1,1,1,1
TessaiMusa,1,1,1,1
TSRBerry,7,42,39,1
marysaka,23,2283,768,1
RyujinxBot,1162,38367,36673,1
lotharsm,19,85,560,1
dfranx,1,5,5,1
ddennedy,42,454,412,1
NinebitX,1,2,1,1
54sledgehammer45,1,3,2,1
T-vK,1,3,2,1
happychameleon,1,3,1,1
yookoala,1,8,2,1
vincentmacri,1,1,1,1
cam-rod,1,0,4,1
BirdInFire,1,1,0,1
genodeftest,1,2,2,1
toxinu,2,5,4,1
osamak,3,9,6,1
Cerberus0,4,26,12,1
bermeitinger-b,90,734,590,1
agx,4,233,6,1
StephenMcConnel,19,81971,59523,1
ArclightMat,5,17,17,1
hbons,17,701,651,1
BeagleJoe,10,228,219,1
jbleonesio,5,32,7,1
squey,8,16,17,1
tarkah,12,9874,2642,1
lunakittyyy,1,1,1,1
DSGuy02,1,23,23,1
ElonSatoshi,1,6,6,1
AlexPoilrouge,3,262,254,1
ActualMandM,1,19,9,1
anthonyajumelles,2,2,2,1
arielsvg,6,12,13,1
alex-w,41,678,697,1
jb2cool,3,22,22,1
jonata,23,1051,527,1
Grumbel,47,1324,1279,1
ice0,7,192,147,1
0x1a8510f2,32,3765,63,1
Akaricchi,5,326,311,1
mibradev,1,2,2,1
john-preston,11,80,617,1
generic-pers0n,10,130,13,1
owendaprile,5,470,329,1
aivarannamaa,12,1166,770,1
acperkins,12,328,215,1
tildearrow,2,2,29,1
PaperNick,1,14,77,1
overflw,23,240,172,1
inukshuk,24,19455,4527,1
stloeffler,30,377,253,1
GarboMuffin,45,115755,115325,1
mttkay,1,2,0,1
klugier,27,2381,1281,1
CorruptComputer,4,1039,1829,1
Elijahrane,11,2411,123,1
DnaX,12,98,39,1
aaronliu0130,4,12,14,1
TGS963,12,127,181,1
NayamAmarshe,40,239,116,1
v1993,5,209,95,1
carlwilson,9,80,47,1
justinvforvendetta,16,204,73,1
vertiond,7,164,37,1
yasharjit,1,2,2,1
phoenixfirebrd,1,2,2,1
nurupo,2,94,1,1
rnorris,9,384,17,1
hferreiro,1,2,2,1
iiisak,1,116,0,1
apprehensions,3,8,42,1
lunarlettuce,55,69047,61282,1
andreas-jonsson,18,457,334,1
loonycyborg,50,380,405,1
wez,19,14790,6258,1
tothxa,4,144,158,1
mtwebster,17,407,180,1
jonathanfaust,1,1,0,1
000exploit,1,8,6,1
kingthorin,4,15,15,1
thc202,6,19,18,1
kurobeats,16,251,133,1
smirnov,14,389,181,1
trollixx,3,9,4,1
bertinatto,1,84,0,1
cheese,2,5,5,1
holmja,1,5,5,1
hpdeifel,1,5,5,1
Eloston,1,5,5,1
dalanicolai,3,8,2,1
maaattes,9,21,21,1
albertotirla,1,95,0,1
parndt,1,5,4,1
andersk,17,37975,43538,1
DrRac27,6,113,52,1
0Qwel,7,4581,44,1
LazyT,5,63,36,1
libre-menu-editor,15,118,73,1
YeldhamDev,4,125,21,1
Dragoncraft89,10,266,10,1
nintyfan,20,180,148,1
parcimonic,1,6,5,1
0pendev,28,226,137,1
bingbr,1,4,3,1
noah-witt,1,5,4,1
rocketraman,1,3,2,1
ranjan-purbey,2,3,5,1
erentnr,2,6,4,1
byronclark,2,2,11,1
anpopa,15,119,79,1
ghfh0,5,47,7,1
CrazyMarvin,1,53,0,1
fperera123,20,62575,42122,1
Boria138,19,852,246,1
proninyaroslav,12,218,33,1
piv-pav,1,2,2,1
feschukov,1,1,0,1
xlmnxp,1,1,1,1
emiljoha,13,141,62,1
staltz,2,9,7,1
atomrc,6,121,14,1
trixon,4,113,4,1
thevulturer,1,1,0,1
huupoke12,2,5,7,1
peppy,9,32,364,1
BiteDasher,21,820,91,1
shuriken1812,9,111,12,1
WildXav,9,18707,111,1
ntadej,9,166,43,1
aichingm,10,22024,262,1
tobiasmicheler,1,9,9,1
matwey,4,74,43,1
nouspiro,24,261,156,1
deathkiller,1,5,2,1
The-King-of-Toasters,1,43,0,1
ikolomiko,4,38,3,1
14mRh4X0r,1,27,8,1
neo1973,1,2,0,1
FeelTheLemon,1,50,1,1
wsnipex,14,1467,293,1
vilmasvensson,17,2781,2790,1
Rechi,22,670,451,1
comparascope,33,2317,339,1
rubenamorim,17,53,36,1
WillsonHaw,17,72,42,1
miguilimzero,8,172,22,1
chaogamer,16,233,116,1
mangobrain,5,233,9,1
Emersont1,21,113,83,1
jonathanballs,8,402,170,1
nickg,9,54,20,1
kohend,15,488,142,1
msvamp,1,6,4,1
liskin,1,23,4,1
lebrinkma,1,32,0,1
jaco129,1,1,1,1
czhang03,1,1,1,1
diegoviola,1,4,4,1
AleksejShilin,1,2,2,1
kisst,2,5,5,1
rosstimson,3,28,22,1
hongquan,36,1562,807,1
l-n-s,12,212,91,1
r4sas,41,287,289,1
jflesch,34,2007,1209,1
herpiko,10,68,29,1
MonsterObserver,1,1,0,1
Vendicated,1,1,1,1
smartfrigde,2,9,8,1
macramole,12,1222,393,1
BrettCleary,19,114,187,1
nickjwhite,10,109,46,1
paperManu,17,359,204,1
riscygeek,14,117,90,1
robiot,13,399,354,1
z3ntu,9,56,17,1
